time,volume,open,high,low,close,chg,percent,turnoverrate,amount,volume_post,amount_post
2005-01-03,53923500,90.8471,90.9966,89.6065,89.9055,-0.4246,-0.47,0.0,0.0,,
2005-01-04,65110000,90.025,90.0774,88.5154,88.7321,-1.0959,-1.22,0.0,0.0,,
2005-01-05,63001300,88.7396,89.1208,88.1866,88.1941,-0.6128,-0.69,0.0,0.0,,
2005-01-06,46049600,88.5453,89.046,88.3809,88.6425,0.4498,0.51,0.0,0.0,,
2005-01-07,53134500,88.9115,89.1058,88.2837,88.5154,-0.1241,-0.14,0.0,0.0,,
2005-01-10,55027400,88.4407,89.2777,88.4407,88.9339,0.416,0.47,0.0,0.0,,
2005-01-11,59703100,88.6724,88.7396,88.1791,88.3211,-0.6136,-0.69,0.0,0.0,,
2005-01-12,69597900,88.478,88.8143,87.6933,88.6126,0.2915,0.33,0.0,0.0,,
2005-01-13,53385000,88.6649,88.7321,87.8129,87.9026,-0.7089,-0.8,0.0,0.0,,
2005-01-14,39497700,88.1642,88.5827,88.0072,88.3659,0.4659,0.53,0.0,0.0,,
2005-01-18,52832200,88.2239,89.4047,88.1492,89.2852,0.919,1.04,0.0,0.0,,
2005-01-19,50922300,89.2478,89.3225,88.3435,88.351,-0.9375,-1.05,0.0,0.0,,
2005-01-20,69582800,88.1044,88.336,87.656,87.8129,-0.5389,-0.61,0.0,0.0,,
2005-01-21,61026900,88.0296,88.1866,87.1777,87.2748,-0.5356,-0.61,0.0,0.0,,
2005-01-24,56921100,87.5065,87.6933,86.9684,87.1029,-0.1746,-0.2,0.0,0.0,,
2005-01-25,65531300,87.372,87.7905,87.23,87.3496,0.2439,0.28,0.0,0.0,,
2005-01-26,55169200,87.6709,87.8876,87.4691,87.6111,0.262,0.3,0.0,0.0,,
2005-01-27,52889700,87.5812,87.9997,87.4243,87.7606,0.1489,0.17,0.0,0.0,,
2005-01-28,58695800,87.8054,87.8503,87.1478,87.7606,0.0,0.0,0.0,0.0,,
2005-01-31,49495600,88.1642,88.3734,87.9698,88.3062,0.5441,0.62,0.0,0.0,,
2005-02-01,49426000,88.3734,88.9937,88.2613,88.8667,0.5564,0.63,0.0,0.0,,
2005-02-02,51556800,88.9788,89.3749,88.8592,89.1357,0.2666,0.3,0.0,0.0,,
2005-02-03,46752600,88.9862,89.0535,88.2389,88.904,-0.2318,-0.26,0.0,0.0,,
2005-02-04,46233000,88.9339,90.0026,88.919,89.8532,0.9513,1.07,0.0,0.0,,
2005-02-07,45504600,89.8457,90.0699,89.6514,89.7336,-0.1168,-0.13,0.0,0.0,,
2005-02-08,38158700,89.8083,90.167,89.7336,89.8382,0.1077,0.12,0.0,0.0,,
2005-02-09,54167900,89.9951,90.0475,89.1208,89.1656,-0.6738,-0.75,0.0,0.0,,
2005-02-10,44774200,89.4272,89.6962,89.1282,89.487,0.321,0.36,0.0,0.0,,
2005-02-11,52029900,89.4645,90.4585,89.2777,90.2567,0.7696,0.86,0.0,0.0,,
2005-02-14,29630300,90.1969,90.324,90.04,90.1895,-0.0632,-0.07,0.0,0.0,,
2005-02-15,42476200,90.2791,90.75,90.1895,90.5258,0.3337,0.37,0.0,0.0,,
2005-02-16,48828900,90.3763,90.7724,90.182,90.5706,0.0634,0.07,0.0,0.0,,
2005-02-17,55880500,90.5856,90.6678,89.8457,89.8532,-0.7338,-0.81,0.0,0.0,,
2005-02-18,45645800,89.8083,90.0325,89.6065,89.9802,0.1168,0.13,0.0,0.0,,
2005-02-22,78416900,89.6065,90.0325,88.62,88.635,-1.3406,-1.49,0.0,0.0,,
2005-02-23,65961600,88.9115,89.3599,88.6499,89.2702,0.6382,0.72,0.0,0.0,,
2005-02-24,66681300,89.1133,89.9354,88.919,89.8606,0.5892,0.66,0.0,0.0,,
2005-02-25,57568000,89.883,90.9293,89.8158,90.75,0.8896,0.99,0.0,0.0,,
2005-02-28,66116500,90.5407,90.9144,89.7186,90.1521,-0.599,-0.66,0.0,0.0,,
2005-03-01,45024600,90.2642,90.8172,90.2642,90.6005,0.4507,0.5,0.0,0.0,,
2005-03-02,62527300,90.2492,91.1236,90.167,90.5557,-0.0453,-0.05,0.0,0.0,,
2005-03-03,60008800,90.9219,91.1012,90.2044,90.593,0.0362,0.04,0.0,0.0,,
2005-03-04,52257000,91.2133,91.8486,90.5482,91.7215,1.1324,1.25,0.0,0.0,,
2005-03-07,42524300,91.6692,92.1101,91.6169,91.7664,0.0459,0.05,0.0,0.0,,
2005-03-08,44268400,91.6767,91.9233,91.2582,91.4226,-0.3395,-0.37,0.0,0.0,,
2005-03-09,71715000,91.1461,91.3927,90.3987,90.4062,-1.0148,-1.11,0.0,0.0,,
2005-03-10,61711100,90.5856,94.3671,89.9802,90.608,0.1989,0.22,0.0,0.0,,
2005-03-11,53127100,90.6603,90.9667,89.8008,89.9727,-0.6342,-0.7,0.0,0.0,,
2005-03-14,35294700,90.1371,90.5332,89.8905,90.5332,0.5578,0.62,0.0,0.0,,
2005-03-15,60534900,90.7425,90.7724,89.7411,89.7859,-0.7515,-0.83,0.0,0.0,,
2005-03-16,74236600,89.4571,89.8008,88.8592,89.0236,-0.7632,-0.85,0.0,0.0,,
2005-03-17,61886400,89.1656,89.487,88.919,89.203,0.178,0.2,0.0,0.0,,
2005-03-18,56840200,89.3658,89.4033,88.6455,88.9381,-0.6179,-0.69,0.0,0.0,,
2005-03-21,60308300,89.0657,89.1182,88.3529,88.608,-0.3291,-0.37,0.0,0.0,,
2005-03-22,84999700,88.7881,89.2307,87.4226,87.7077,-0.9038,-1.02,0.0,0.0,,
2005-03-23,67175800,87.7377,88.2254,87.5951,87.7827,0.0789,0.09,0.0,0.0,,
2005-03-24,50614600,88.1278,88.5255,87.8277,87.8877,0.1053,0.12,0.0,0.0,,
2005-03-28,44626900,88.0978,88.4879,87.9177,88.0153,0.1318,0.15,0.0,0.0,,
2005-03-29,70261900,87.8877,88.4579,87.22,87.4301,-0.5809,-0.66,0.0,0.0,,
2005-03-30,60120300,87.6176,88.7505,87.6101,88.683,1.2417,1.42,0.0,0.0,,
2005-03-31,62357500,88.6755,88.8781,88.4354,88.503,-0.1685,-0.19,0.0,0.0,,
2005-04-01,92220000,89.0056,89.2757,87.7152,88.0678,-0.3981,-0.45,0.0,0.0,,
2005-04-04,69768800,88.0528,88.4279,87.5876,88.2554,0.1498,0.17,0.0,0.0,,
2005-04-05,46032100,88.3829,88.8181,87.8652,88.6605,0.4235,0.48,0.0,0.0,,
2005-04-06,49637300,88.8706,89.2457,88.668,88.9831,0.3104,0.35,0.0,0.0,,
2005-04-07,45187900,88.8406,89.4858,88.7731,89.4633,0.4805,0.54,0.0,0.0,,
2005-04-08,60885400,89.3958,89.4408,88.533,88.533,-0.9304,-1.04,0.0,0.0,,
2005-04-11,40949700,88.7505,88.8481,88.4054,88.6005,0.0708,0.08,0.0,0.0,,
2005-04-12,84685400,88.4504,89.3283,87.8352,89.0657,0.4607,0.52,0.0,0.0,,
2005-04-13,64100600,88.9531,89.1332,87.8802,88.0078,-1.0509,-1.18,0.0,0.0,,
2005-04-14,92711200,88.0978,89.1707,86.8298,86.8598,-1.1441,-1.3,0.0,0.0,,
2005-04-15,26420200,86.8523,87.1675,85.5769,85.6444,-1.216,-1.4,0.0,0.0,,
2005-04-18,97916800,85.6219,86.2521,85.5018,85.907,0.2655,0.31,0.0,0.0,,
2005-04-19,61226500,86.3572,86.7248,86.1546,86.5897,0.6787,0.79,0.0,0.0,,
2005-04-20,8076600,86.5822,86.7548,85.1792,85.3818,-1.2123,-1.4,0.0,0.0,,
2005-04-21,81903900,86.1246,87.19,85.817,87.0399,1.6564,1.94,0.0,0.0,,
2005-04-22,87937100,86.8373,87.4075,85.7344,86.7098,-0.3308,-0.38,0.0,0.0,,
2005-04-25,50353800,86.9274,87.4075,86.8223,87.28,0.5723,0.66,0.0,0.0,,
2005-04-26,72053900,87.0024,87.6101,86.3872,86.4322,-0.8466,-0.97,0.0,0.0,,
2005-04-27,81964800,86.1771,87.0849,85.862,86.7698,0.3371,0.39,0.0,0.0,,
2005-04-28,69530400,86.4847,86.7923,85.6294,85.6819,-1.0846,-1.25,0.0,0.0,,
2005-04-29,539600,86.3346,86.9274,85.5093,86.8448,1.1652,1.36,0.0,0.0,,
2005-05-02,55079100,87.0849,87.34,86.6723,87.3325,0.4863,0.56,0.0,0.0,,
2005-05-03,83509900,87.0699,87.6701,86.7998,87.4826,0.1485,0.17,0.0,0.0,,
2005-05-04,80080700,87.5201,88.3454,87.2425,88.1578,0.6736,0.77,0.0,0.0,,
